site_id,T1,T2,T3
1_94184805,-0.0946,0.201,0
3_94184803,0,0.0911,-0.0134
8_94184801,0,0.0425,-0.0937
11_94184855,0,-0.2075,0.0307
12_94184856,0,-0.0293,0.052
15_94194307,0.139,-0.0236,0
17_94194303,0.0771,0,-0.1284
22_94194310,0.1273,0,-0.0273
25_94184809,0.1219,-0.048,0
27_94194305,0.1379,-0.1113,0
29_94184842,0.1948,0,-0.0445
31_94184841,0,0.1063,-0.0612
36_94194308,0,-0.0933,0.0248
40_94184854,0.0435,-0.0872,0
42_94184860,0.1262,-0.0053,0
44_94184853,0.0051,-0.1236,0
46_94184857,-0.0398,0,0.0039
50_94184806,-0.0186,0,0.0038
52_94184802,0,0.0494,-0.0512
56_94184804,-0.0254,0.0379,0
60_94184807,0.0756,0,-0.0053
63_94184858,0,0.0736,-0.0678
64_94184851,0.1707,0,-0.0909
65_94184859,-0.0356,0.168,0
66_94194301,0.0431,-0.1127,0
68_94194306,0.0769,-0.0298,0
70_94194302,0.0721,0,-0.0264
71_94184843,-0.0162,0.0379,0
73_94184844,-0.0825,0.0227,0
77_94184846,0.0763,-0.1271,0
79_94194309,0.1363,0,-0.0354
83_94194289,0,-0.0259,0.1616
88_94184808,0,0.0653,-0.0253
92_94184810,-0.0497,0,0.0328
95_94194281,0,-0.0164,0.0123
97_94194284,-0.0674,0,0.0696
98_94194283,0,-0.0335,0.009
99_94194282,0.1556,-0.0076,0
102_94194285,-0.1032,0,0.1584
104_94194288,-0.031,0,0.0078
107_94184847,0.0845,0,-0.0127
109_94184845,0.1052,0,-0.0563
110_94184848,0,0.037,-0.0703
113_94184850,0,0.0913,-0.0122
116_94184849,-0.0945,0,0.0376
118_94194304,-0.099,0,0.099
121_94194290,0.1211,-0.117,0
123_94194286,0.0041,0,-0.0373
125_94194287,0.265,-0.0013,0
